[sample.gcm_data.dat]
allow_sparse_data=TRUE
                           year    day      month       CERFAC         ECMWF           INGV          LODYC         METEO         MPI            UKMET
                            ()      ()         ()          ()            ()             ()            ()            ()            ()              ()
                           1856        3        1           0             0             0             0             0              0              0
                           1856       34        2           0             0             0             0             0              0              0
                           1856       63        3           0             0             0             0             0              0              0
                           1856       94        4           0             0             0             0             0              0              0
                           1856      120        5           0             0             0             0             0              0              0
                           1856      155        6           0             0             0             0             0              0              0
                           1856      185        7           0             0             0             0             0              0              0
                           1856      210        8           0             0             0             0             0              0              0
                           1856      247        9           0             0             0             0             0              0              0
                           1856      277       10           0             0             0             0             0              0              0
                           1856      308       11           0             0             0             0             0              0              0
                           1856      338       12           0             0             0             0             0              0              0
                           1857        3        1           0             0             0             0             0              0              0
                           1857       34        2           0             0             0             0             0              0              0
                           1857       63        3           0             0             0             0             0              0              0
                           1857       94        4           0             0             0             0             0              0              0
                           1857      120        5           0             0             0             0             0              0              0
                           1857      155        6           0             0             0             0             0              0              0
                           1857      185        7           0             0             0             0             0              0              0
                           1857      210        8           0             0             0             0             0              0              0
                           1857      247        9           0             0             0             0             0              0              0
                           1857      277       10           0             0             0             0             0              0              0
                           1857      308       11           0             0             0             0             0              0              0
                           1857      338       12           0             0             0             0             0              0              0
                           1858        3        1           0             0             0             0             0              0              0
                           1858       34        2           0             0             0             0             0              0              0
                           1858       63        3           0             0             0             0             0              0              0
                           1858       94        4           0             0             0             0             0              0              0
                           1858      120        5           0             0             0             0             0              0              0
                           1858      155        6           0             0             0             0             0              0              0
                           1858      185        7           0             0             0             0             0              0              0
                           1858      210        8           0             0             0             0             0              0              0
                           1858      247        9           0             0             0             0             0              0              0
                           1858      277       10           0             0             0             0             0              0              0
                           1858      308       11           0             0             0             0             0              0              0
                           1858      338       12           0             0             0             0             0              0              0
                           1859        3        1           0             0             0             0             0              0              0
                           1859       34        2           0             0             0             0             0              0              0
                           1859       63        3           0             0             0             0             0              0              0
                           1859       94        4           0             0             0             0             0              0              0
                           1859      120        5           0             0             0             0             0              0              0
                           1859      155        6           0             0             0             0             0              0              0
                           1859      185        7           0             0             0             0             0              0              0
                           1859      210        8           0             0             0             0             0              0              0
                           1859      247        9           0             0             0             0             0              0              0
                           1859      277       10           0             0             0             0             0              0              0
                           1859      308       11           0             0             0             0             0              0              0
                           1859      338       12           0             0             0             0             0              0              0
                           1860        3        1           0             0             0             0             0              0              0
                           1860       34        2           0             0             0             0             0              0              0
                           1860       63        3           0             0             0             0             0              0              0
                           1860       94        4           0             0             0             0             0              0              0
                           1860      120        5           0             0             0             0             0              0              0
                           1860      155        6           0             0             0             0             0              0              0
                           1860      185        7           0             0             0             0             0              0              0
                           1860      210        8           0             0             0             0             0              0              0
                           1860      247        9           0             0             0             0             0              0              0
                           1860      277       10           0             0             0             0             0              0              0
                           1860      308       11           0             0             0             0             0              0              0
                           1860      338       12           0             0             0             0             0              0              0
                           1861        3        1           0             0             0             0             0              0              0
                           1861       34        2           0             0             0             0             0              0              0
                           1861       63        3           0             0             0             0             0              0              0
                           1861       94        4           0             0             0             0             0              0              0
                           1861      120        5           0             0             0             0             0              0              0
                           1861      155        6           0             0             0             0             0              0              0
                           1861      185        7           0             0             0             0             0              0              0
                           1861      210        8           0             0             0             0             0              0              0
                           1861      247        9           0             0             0             0             0              0              0
                           1861      277       10           0             0             0             0             0              0              0
                           1861      308       11           0             0             0             0             0              0              0
                           1861      338       12           0             0             0             0             0              0              0
                           1862        3        1           0             0             0             0             0              0              0
                           1862       34        2           0             0             0             0             0              0              0
                           1862       63        3           0             0             0             0             0              0              0
                           1862       94        4           0             0             0             0             0              0              0
                           1862      120        5           0             0             0             0             0              0              0
                           1862      155        6           0             0             0             0             0              0              0
                           1862      185        7           0             0             0             0             0              0              0
                           1862      210        8           0             0             0             0             0              0              0
                           1862      247        9           0             0             0             0             0              0              0
                           1862      277       10           0             0             0             0             0              0              0
                           1862      308       11           0             0             0             0             0              0              0
                           1862      338       12           0             0             0             0             0              0              0
                           1863        3        1           0             0             0             0             0              0              0
                           1863       34        2           0             0             0             0             0              0              0
                           1863       63        3           0             0             0             0             0              0              0
                           1863       94        4           0             0             0             0             0              0              0
                           1863      120        5           0             0             0             0             0              0              0
                           1863      155        6           0             0             0             0             0              0              0
                           1863      185        7           0             0             0             0             0              0              0
                           1863      210        8           0             0             0             0             0              0              0
                           1863      247        9           0             0             0             0             0              0              0
                           1863      277       10           0             0             0             0             0              0              0
                           1863      308       11           0             0             0             0             0              0              0
                           1863      338       12           0             0             0             0             0              0              0
                           1864        3        1           0             0             0             0             0              0              0
                           1864       34        2           0             0             0             0             0              0              0
                           1864       63        3           0             0             0             0             0              0              0
                           1864       94        4           0             0             0             0             0              0              0
                           1864      120        5           0             0             0             0             0              0              0
                           1864      155        6           0             0             0             0             0              0              0
                           1864      185        7           0             0             0             0             0              0              0
                           1864      210        8           0             0             0             0             0              0              0
                           1864      247        9           0             0             0             0             0              0              0
                           1864      277       10           0             0             0             0             0              0              0
                           1864      308       11           0             0             0             0             0              0              0
                           1864      338       12           0             0             0             0             0              0              0
                           1865        3        1           0             0             0             0             0              0              0
                           1865       34        2           0             0             0             0             0              0              0
                           1865       63        3           0             0             0             0             0              0              0
                           1865       94        4           0             0             0             0             0              0              0
                           1865      120        5           0             0             0             0             0              0              0
                           1865      155        6           0             0             0             0             0              0              0
                           1865      185        7           0             0             0             0             0              0              0
                           1865      210        8           0             0             0             0             0              0              0
                           1865      247        9           0             0             0             0             0              0              0
                           1865      277       10           0             0             0             0             0              0              0
                           1865      308       11           0             0             0             0             0              0              0
                           1865      338       12           0             0             0             0             0              0              0
                           1866        3        1           0             0             0             0             0              0              0
                           1866       34        2           0             0             0             0             0              0              0
                           1866       63        3           0             0             0             0             0              0              0
                           1866       94        4           0             0             0             0             0              0              0
                           1866      120        5           0             0             0             0             0              0              0
                           1866      155        6           0             0             0             0             0              0              0
                           1866      185        7           0             0             0             0             0              0              0
                           1866      210        8           0             0             0             0             0              0              0
                           1866      247        9           0             0             0             0             0              0              0
                           1866      277       10           0             0             0             0             0              0              0
                           1866      308       11           0             0             0             0             0              0              0
                           1866      338       12           0             0             0             0             0              0              0
