ApsimVersion = 7.1
Title = Wheat Grazing
           Date    LeafGreenWt    StemGreenWt   paddockState            alw  stocking_rate      acc_eaten
     07/08/1988          33.03          22.93          empty          0.000          0.000            0.0
     08/08/1988          33.96          23.67          empty          0.000          0.000            0.0
     09/08/1988          34.97          24.45          empty          0.000          0.000            0.0
     10/08/1988          35.95          25.22          empty          0.000          0.000            0.0
     11/08/1988          36.80          25.97          empty          0.000          0.000            0.0
     12/08/1988          37.51          26.73          empty          0.000          0.000            0.0
     13/08/1988          38.16          27.55          empty          0.000          0.000            0.0
     14/08/1988          38.71          28.43          empty          0.000          0.000            0.0
     15/08/1988          39.20          29.42          empty          0.000          0.000            0.0
     16/08/1988          39.66          30.63          empty          0.000          0.000            0.0
     17/08/1988          40.05          31.94          empty          0.000          0.000            0.0
     18/08/1988          39.85          33.24        stocked        400.110          0.800            5.2
     19/08/1988          39.65          34.75        stocked        400.217          0.800           10.3
     20/08/1988          39.52          36.73        stocked        400.322          0.800           15.5
     21/08/1988          39.17          38.71        stocked        400.425          0.800           20.6
     22/08/1988          38.53          40.02        stocked        400.526          0.800           25.8
     23/08/1988          37.99          41.78        stocked        400.626          0.800           30.9
     24/08/1988          37.63          43.85        stocked        400.724          0.800           36.0
     25/08/1988          37.31          46.59        stocked        400.820          0.800           41.1
     26/08/1988          36.81          49.29        stocked        400.915          0.800           46.2
     27/08/1988          36.11          51.22        stocked        401.009          0.800           51.3
     28/08/1988          35.40          53.60        stocked        401.102          0.800           56.4
     29/08/1988          34.77          57.24        stocked        401.193          0.800           61.5
     30/08/1988          34.03          60.99        stocked        401.284          0.800           66.6
     31/08/1988          33.24          63.09        stocked        401.375          0.800           71.7
     01/09/1988          32.34          65.11        stocked        401.733          0.800           78.0
     02/09/1988          31.49          68.56        stocked        402.090          0.800           84.3
     03/09/1988          30.60          73.05        stocked        402.447          0.800           90.6
     04/09/1988          29.71          76.99        stocked        402.802          0.800           96.9
     05/09/1988          28.89          79.48        stocked        403.157          0.800          103.2
     06/09/1988          28.07          82.67        stocked        403.511          0.800          109.4
     07/09/1988          27.27          85.39        stocked        403.864          0.800          115.7
     08/09/1988          26.49          89.89        stocked        404.216          0.800          122.0
     09/09/1988          25.75          93.86        stocked        404.568          0.800          128.3
     10/09/1988          24.96          97.61        stocked        404.920          0.800          134.6
     11/09/1988          24.12         101.20        stocked        405.271          0.800          140.9
     12/09/1988          23.32         103.69        stocked        405.621          0.800          147.2
     13/09/1988          22.58         107.58        stocked        405.971          0.800          153.5
     14/09/1988          22.00         108.83        stocked        406.321          0.800          159.8
     15/09/1988          21.29         112.06        stocked        406.669          0.800          166.1
     16/09/1988          20.58         115.34        stocked        407.017          0.800          172.4
     17/09/1988          19.82         119.52        stocked        407.365          0.800          178.7
     18/09/1988          19.11         123.59        stocked        407.712          0.800          185.0
     19/09/1988          18.49         126.92        stocked        408.060          0.800          191.3
     20/09/1988          17.93         130.11        stocked        408.407          0.800          197.6
     21/09/1988          17.33         133.31        stocked        408.754          0.800          203.9
     22/09/1988          16.72         136.06        stocked        409.100          0.800          210.2
     23/09/1988          16.07         138.02        stocked        409.446          0.800          216.6
     24/09/1988          15.38         139.43        stocked        409.792          0.800          222.9
     25/09/1988          14.81         141.01        stocked        410.138          0.800          229.2
     26/09/1988          14.22         140.29        stocked        410.483          0.800          235.5
     27/09/1988          13.63         138.16        stocked        410.828          0.800          241.9
     28/09/1988          13.03         136.38        stocked        411.172          0.800          248.2
     29/09/1988          12.46         135.63        stocked        411.516          0.800          254.5
     30/09/1988          11.81         133.44        stocked        411.860          0.800          260.9
     01/10/1988          11.20         131.05        stocked        412.203          0.800          267.2
     02/10/1988          10.67         130.04        stocked        412.546          0.800          273.5
     03/10/1988          10.14         128.80        stocked        412.888          0.800          279.9
     04/10/1988           9.53         126.12        stocked        413.230          0.800          286.2
     05/10/1988           9.02         121.86        stocked        413.571          0.800          292.6
     06/10/1988           8.46         117.86        stocked        413.912          0.800          298.9
     07/10/1988           7.88         114.92        stocked        414.252          0.800          305.3
     08/10/1988           7.33         111.84        stocked        414.592          0.800          311.6
     09/10/1988           6.75         108.15        stocked        414.932          0.800          318.0
     10/10/1988           6.23         105.07        stocked        415.270          0.800          324.3
     11/10/1988           5.76         102.27        stocked        415.609          0.800          330.7
     12/10/1988           5.22          98.32        stocked        415.946          0.800          337.0
     13/10/1988           4.64          93.46        stocked        416.283          0.800          343.4
     14/10/1988           4.37          88.02        stocked        416.620          0.800          349.8
     15/10/1988           4.26          85.85        stocked        416.956          0.800          356.1
     16/10/1988           4.15          85.46        stocked        417.291          0.800          362.5
     17/10/1988           4.05          85.07        stocked        417.625          0.800          368.8
     18/10/1988           3.94          84.68        stocked        417.958          0.800          375.2
     19/10/1988           3.84          84.28        stocked        418.291          0.800          381.6
     20/10/1988           3.73          84.99        stocked        418.623          0.800          387.9
     21/10/1988           3.63          84.59        stocked        418.955          0.800          394.3
     22/10/1988           3.54          84.19        stocked        419.285          0.800          400.7
     23/10/1988           0.00           0.00        stocked        418.227          0.800          400.7
     24/10/1988           0.00           0.00        stocked        417.169          0.800          400.7
     25/10/1988           0.00           0.00        stocked        416.111          0.800          400.7
     26/10/1988           0.00           0.00        stocked        415.053          0.800          400.7
     27/10/1988           0.00           0.00        stocked        413.995          0.800          400.7
     28/10/1988           0.00           0.00        stocked        412.937          0.800          400.7
     29/10/1988           0.00           0.00        stocked        411.879          0.800          400.7
     30/10/1988           0.00           0.00        stocked        410.821          0.800          400.7
     31/10/1988           0.00           0.00        stocked        409.763          0.800          400.7
     01/11/1988           0.00           0.00        stocked        408.705          0.800          400.7
     02/11/1988           0.00           0.00        stocked        407.647          0.800          400.7
     03/11/1988           0.00           0.00        stocked        406.589          0.800          400.7
     04/11/1988           0.00           0.00        stocked        405.531          0.800          400.7
     05/11/1988           0.00           0.00        stocked        404.473          0.800          400.7
     06/11/1988           0.00           0.00        stocked        403.415          0.800          400.7
     07/11/1988           0.00           0.00        stocked        402.357          0.800          400.7
     08/11/1988           0.00           0.00        stocked        401.299          0.800          400.7
     09/11/1988           0.00           0.00        stocked        400.241          0.800          400.7
     10/11/1988           0.00           0.00        stocked        399.183          0.800          400.7
     11/11/1988           0.00           0.00        stocked        398.125          0.800          400.7
     12/11/1988           0.00           0.00        stocked        397.067          0.800          400.7
     13/11/1988           0.00           0.00        stocked        396.009          0.800          400.7
     14/11/1988           0.00           0.00        stocked        394.951          0.800          400.7
     15/11/1988           0.00           0.00        stocked        393.893          0.800          400.7
     16/11/1988           0.00           0.00        stocked        392.835          0.800          400.7
     17/11/1988           0.00           0.00        stocked        391.777          0.800          400.7
